Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-8.885625	34.9088235294118	4.843125	-0.997647058823529
seq2	-7.929375	34.9447058823529	4.62875	-2.37294117647059
seq3	-7.770625	34.5917647058824	4.966875	-0.758823529411765
seq4	-7.986875	34.7370588235294	4.8475	-1.47882352941176
seq5	-7.161875	34.8094117647059	4.77	-2.04882352941176
seq6	-6.84375	34.7094117647059	5.01125	-1.23
seq7	-5.78375	34.5776470588235	5.03375	-1.26352941176471
seq8	-7.663125	34.5341176470588	5.006875	-0.971764705882353
seq9	-5.391875	34.3364705882353	4.84	-1.78941176470588
seq10	-6.348125	34.3523529411765	4.999375	-1.03588235294118
seq11	-6.855	34.75	4.679375	-2.23294117647059
seq12	-7.608125	34.5535294117647	5.060625	-0.797647058823529
seq13	-6.12375	34.3517647058824	4.765	-1.84411764705882
seq14	-7.095625	34.5023529411765	5.02	-1.28588235294118
seq15	-8.32125	34.5358823529412	5.004375	-1.06647058823529
seq16	-7.860625	34.3717647058824	4.945	-1.15294117647059
seq17	-3.3325	33.9676470588235	4.74	-2.10352941176471
seq18	-6.224375	34.3517647058824	4.826875	-1.61
seq19	-5.7675	34.1488235294118	5.071875	-0.767058823529412
seq20	-6.1025	34.1670588235294	5.219375	-0.298823529411765
seq21	-7.313125	34.4764705882353	4.924375	-1.22588235294118
seq22	-8.594375	34.7641176470588	4.8175	-1.19117647058824
seq23	-5.0175	34.0058823529412	4.955	-1.28764705882353
seq24	-6.55125	34.4541176470588	4.941875	-1.47823529411765
seq25	-6.04625	34.3147058823529	4.99	-1.15882352941176
seq26	-4.64	34.0723529411765	5.023125	-1.10529411764706
seq27	-6.04	34.23	4.975	-1.18941176470588
seq28	-6.705	34.1676470588235	4.878125	-1.39411764705882
seq29	-8.17	34.2323529411765	5.22125	-0.191764705882353
seq30	-6.398125	34.1776470588235	5.06625	-0.683529411764706
seq31	-4.78125	33.9617647058824	5.220625	-0.579411764705882
seq32	-7.08875	34.6647058823529	4.77	-1.60705882352941
seq33	-6.534375	34.4129411764706	4.9425	-1.23352941176471
seq34	-5.673125	34.2047058823529	4.869375	-1.75823529411765
seq35	-9.329375	34.6	4.963125	-1.03117647058824
seq36	-7.306875	34.4452941176471	4.921875	-1.27352941176471
seq37	-10.62375	35.5288235294118	4.574375	-1.91941176470588
seq38	-7.863125	34.6388235294118	4.9125	-0.815882352941177
seq39	-9.126875	34.7411764705882	5.008125	-0.131176470588235
seq40	-8.64	34.9017647058823	4.8025	-1.19588235294118
seq41	-7.10375	34.3147058823529	4.8925	-1.23235294117647
seq42	-5.83625	34.1958823529412	5.240625	0.136470588235294
seq43	-6.18875	34.0041176470588	5.191875	-0.0435294117647059
seq44	-8.321875	34.5423529411765	5.0475	-0.779411764705882
seq45	-5.725625	33.8941176470588	5.1725	-0.269411764705882
seq46	-5.729375	34.3388235294118	5.105625	-0.841176470588235
seq47	-5.863125	34.3847058823529	4.798125	-1.42588235294118
seq48	-6.9275	34.0952941176471	5.2925	0.283529411764706
seq49	-5.783125	34.2605882352941	4.724375	-1.77705882352941
seq50	-5.0225	34.4076470588235	4.890625	-1.41647058823529
seq51	-6.561875	34.5670588235294	4.691875	-1.86058823529412
seq52	-5.989375	34.2758823529412	4.94875	-0.812352941176471
seq53	-6.818125	34.4447058823529	5.098125	-0.267058823529412
seq54	-6.72125	34.25	5.003125	-0.831764705882353
seq55	-9.121875	34.89	4.7725	-1.42
seq56	-8.391875	34.83	4.659375	-1.57470588235294
seq57	-7.96125	34.3858823529412	5.130625	-0.288823529411765
seq58	-8.191875	34.7788235294118	4.651875	-1.75117647058824
seq59	-5.450625	34.0605882352941	5.193125	-0.173529411764706
seq60	-6.014375	34.0352941176471	5.06125	-0.77
seq61	-4.110625	34.0323529411765	5.16	-0.424117647058824
seq62	-6.316875	33.9923529411765	5.248125	-0.0676470588235294
seq63	-5.35	34.1794117647059	4.978125	-1.31294117647059
seq64	-5.735	34.1211764705882	5.143125	-0.452941176470588
seq65	-6.34875	34.2011764705882	5.3075	0.113529411764706
seq66	-7.243125	34.4329411764706	5.081875	-0.437058823529412
seq67	-5.956875	34.38	4.863125	-1.61470588235294
seq68	-6.87125	34.7129411764706	4.650625	-2.24764705882353
seq69	-4.508125	33.7088235294118	5.166875	-0.7
seq70	-5.87625	34.4605882352941	4.810625	-1.47
seq71	-5.433125	34.0047058823529	5.19875	-0.729411764705882
seq72	-5.224375	34.03	5.253125	-0.396470588235294
seq73	-3.524375	33.73	5.0875	-1.18294117647059
seq74	-4.86	34.1741176470588	4.9375	-1.46705882352941
seq75	-4.081875	34.0476470588235	5.138125	-0.946470588235294
seq76	-6.884375	34.2305882352941	5.06	-0.780588235294118
seq77	-4.85375	33.9847058823529	5.1075	-0.704705882352941
seq78	-7.343125	34.6435294117647	4.87375	-1.39235294117647
seq79	-6.48125	34.1635294117647	5.06	-0.642352941176471
seq80	-5.186875	34.1082352941176	5.03875	-0.932941176470588
seq81	-6.48375	34.0623529411765	5.254375	0.0270588235294118
